"","V2","V3"
"C16533",0,"docosadienoate (22:2n6)"
"C03242",0,"dihomo-linolenate (20:3n3 or n6)"
"C01595",0,"linoleate (18:2n6)"
"C01530",0,"stearate (18:0)"
"C00712",0,"oleate (18:1n9)"
"C00249",0,"palmitate (16:0)"
"C00219",0,"arachidonate (20:4n6)"
"C08281",1.46826053007257,"behenate (22:0)"
"C06425",1.57813934713142,"arachidate (20:0)"
"C06429",0,"docosahexaenoate (DHA; 22:6n3)"
"C16526",0,"eicosenoate (20:1n9 or 11)"
"C16527",0,"adrenate (22:4n6)"
"C16525",0,"dihomo-linoleate (20:2n6)"
"C16513",0,"docosapentaenoate (n3 DPA; 22:5n3)"
"C06428",0,"eicosapentaenoate (EPA; 20:5n3)"
"C06427",0,"linolenate [alpha or gamma; (18:3n3 or 6)]"
